hotel,date,y_p,y_pred_p
HFL01,2023-01-01,164.4065354304107,
HFL01,2023-01-02,154.84101955524423,
HFL01,2023-01-03,147.73800830896587,
HFL01,2023-01-04,103.78877255844336,
HFL01,2023-01-05,114.32584657594788,
HFL01,2023-01-06,155.12367025660558,
HFL01,2023-01-07,160.4379608258578,
HFL01,2023-01-08,173.87101952515104,
HFL01,2023-01-09,125.47003331637242,
HFL01,2023-01-10,101.6152865347994,
HFL01,2023-01-11,104.8737271538731,
HFL01,2023-01-12,77.04812248937893,
HFL01,2023-01-13,98.83072190002945,
HFL01,2023-01-14,149.05666313536642,
HFL01,2023-01-15,193.76579786140334,
HFL01,2023-01-16,140.0054866625576,
HFL01,2023-01-17,127.68528114910181,
HFL01,2023-01-18,69.68278482006211,
HFL01,2023-01-19,58.11885784004884,
HFL01,2023-01-20,96.01811277788312,
HFL01,2023-01-21,103.27147388934209,
HFL01,2023-01-22,133.72235931821734,
HFL01,2023-01-23,155.81431842249515,
HFL01,2023-01-24,187.97329256530338,
HFL01,2023-01-25,144.09766357787325,
HFL01,2023-01-26,74.96146313044855,
HFL01,2023-01-27,81.21262087606435,
HFL01,2023-01-28,157.5130618341889,
HFL01,2023-01-29,175.31744192940363,
HFL01,2023-01-30,101.99126466950416,
HFL01,2023-01-31,37.02462105721889,
HFL01,2023-02-01,54.45394854862617,
HFL01,2023-02-02,48.989295740775695,
HFL01,2023-02-03,100.0124887607492,
HFL01,2023-02-04,147.6517403427567,
HFL01,2023-02-05,168.39162762193152,
HFL01,2023-02-06,293.68724308482064,
HFL01,2023-02-07,259.81785839882747,
HFL01,2023-02-08,65.82274203817187,
HFL01,2023-02-09,237.99530626787282,
HFL01,2023-02-10,199.91857172302332,
HFL01,2023-02-11,160.34813439583593,
HFL01,2023-02-12,117.4598350001934,
HFL01,2023-02-13,294.2931520139484,
HFL01,2023-02-14,277.60886990509994,
HFL01,2023-02-15,59.14181352440923,
HFL01,2023-02-16,261.98928019901837,
HFL01,2023-02-17,234.47546979009513,
HFL01,2023-02-18,167.41848727996316,
HFL01,2023-02-19,199.58745610921224,
HFL01,2023-02-20,141.88699501083818,
HFL01,2023-02-21,276.31810453850653,
HFL01,2023-02-22,242.94449163265529,
HFL01,2023-02-23,96.05860625517013,
HFL01,2023-02-24,166.240027022189,
HFL01,2023-02-25,172.56920483140763,
HFL01,2023-02-26,221.43724937549848,
HFL01,2023-02-27,305.04329769500424,
HFL01,2023-02-28,307.3779342383282,
HFL01,2023-03-01,116.78195794588474,
HFL01,2023-03-02,27.82053966258639,
HFL01,2023-03-03,34.95983909210953,
HFL01,2023-03-04,57.9295454866544,
HFL01,2023-03-05,68.132114722091,
HFL01,2023-03-06,221.3874895896475,
HFL01,2023-03-07,206.6683040017288,
HFL01,2023-03-08,24.908248683945146,
HFL01,2023-03-09,17.14794830787986,
HFL01,2023-03-10,46.04713661450955,
